Domestic Cargo - Revenue Aircraft Miles Flown  (January 2000 - July 2020)
Unit: (000)

Period,Total
"January 2000","932"
"February 2000","891"
"March 2000","1099"
"April 2000","1274"
"May 2000","1195"
"June 2000","1255"
"July 2000","1314"
"August 2000","1273"
"September 2000","1343"
"October 2000","1593"
"November 2000","1431"
"December 2000","1857"
"January 2001","8252"
"February 2001","7648"
"March 2001","9291"
"April 2001","8528"
"May 2001","9153"
"June 2001","9040"
"July 2001","8494"
"August 2001","9726"
"September 2001","6964"
"October 2001","9274"
"November 2001","9346"
"December 2001","10468"
"January 2002","8688"
"February 2002","8063"
"March 2002","9413"
"April 2002","8879"
"May 2002","9631"
"June 2002","9282"
"July 2002","9999"
"August 2002","10582"
"September 2002","8963"
"October 2002","34113"
"November 2002","30952"
"December 2002","34387"
"January 2003","29409"
"February 2003","27205"
"March 2003","28956"
"April 2003","29783"
"May 2003","29391"
"June 2003","28322"
"July 2003","30274"
"August 2003","30330"
"September 2003","28538"
"October 2003","32662"
"November 2003","28602"
"December 2003","33913"
"January 2004","28971"
"February 2004","28141"
"March 2004","30966"
"April 2004","30238"
"May 2004","29106"
"June 2004","29797"
"July 2004","30531"
"August 2004","30490"
"September 2004","31148"
"October 2004","32345"
"November 2004","30397"
"December 2004","36708"
"January 2005","31945"
"February 2005","31572"
"March 2005","37276"
"April 2005","34217"
"May 2005","32622"
"June 2005","35590"
"July 2005","33820"
"August 2005","36112"
"September 2005","34766"
"October 2005","34214"
"November 2005","34784"
"December 2005","40039"
"January 2006","31992"
"February 2006","30663"
"March 2006","37155"
"April 2006","33439"
"May 2006","33922"
"June 2006","35747"
"July 2006","32464"
"August 2006","37418"
"September 2006","34191"
"October 2006","35177"
"November 2006","36087"
"December 2006","41517"
"January 2007","33523"
"February 2007","31770"
"March 2007","36895"
"April 2007","32817"
"May 2007","35707"
"June 2007","34596"
"July 2007","32390"
"August 2007","36138"
"September 2007","31858"
"October 2007","35125"
"November 2007","33553"
"December 2007","36043"
"January 2008","32229"
"February 2008","31253"
"March 2008","32201"
"April 2008","33177"
"May 2008","32601"
"June 2008","30048"
"July 2008","31484"
"August 2008","30635"
"September 2008","28830"
"October 2008","32308"
"November 2008","27923"
"December 2008","32706"
"January 2009","25991"
"February 2009","23774"
"March 2009","25049"
"April 2009","25381"
"May 2009","24315"
"June 2009","24312"
"July 2009","25480"
"August 2009","24029"
"September 2009","24507"
"October 2009","26540"
"November 2009","23913"
"December 2009","30835"
"January 2010","23230"
"February 2010","22822"
"March 2010","25414"
"April 2010","25526"
"May 2010","24909"
"June 2010","25807"
"July 2010","25795"
"August 2010","25520"
"September 2010","25288"
"October 2010","26179"
"November 2010","25271"
"December 2010","32707"
"January 2011","24034"
"February 2011","23371"
"March 2011","27467"
"April 2011","25154"
"May 2011","24197"
"June 2011","25907"
"July 2011","24476"
"August 2011","25839"
"September 2011","24598"
"October 2011","24357"
"November 2011","25271"
"December 2011","31600"
"January 2012","23107"
"February 2012","23861"
"March 2012","26136"
"April 2012","23656"
"May 2012","25708"
"June 2012","24894"
"July 2012","23583"
"August 2012","25981"
"September 2012","23321"
"October 2012","25656"
"November 2012","25810"
"December 2012","29678"
"January 2013","24657"
"February 2013","22726"
"March 2013","24776"
"April 2013","23992"
"May 2013","25167"
"June 2013","23830"
"July 2013","23887"
"August 2013","25306"
"September 2013","22278"
"October 2013","26291"
"November 2013","23823"
"December 2013","30717"
"January 2014","24741"
"February 2014","22659"
"March 2014","24340"
"April 2014","25028"
"May 2014","25218"
"June 2014","23900"
"July 2014","25977"
"August 2014","25401"
"September 2014","23480"
"October 2014","27141"
"November 2014","25105"
"December 2014","35008"
"January 2015","25144"
"February 2015","24096"
"March 2015","25986"
"April 2015","26267"
"May 2015","25822"
"June 2015","26033"
"July 2015","27286"
"August 2015","25854"
"September 2015","26800"
"October 2015","28760"
"November 2015","26236"
"December 2015","38633"
"January 2016","26950"
"February 2016","25634"
"March 2016","29505"
"April 2016","27732"
"May 2016","26906"
"June 2016","28813"
"July 2016","27670"
"August 2016","29358"
"September 2016","29009"
"October 2016","29449"
"November 2016","31074"
"December 2016","40234"
"January 2017","28359"
"February 2017","26859"
"March 2017","31552"
"April 2017","28997"
"May 2017","30422"
"June 2017","31343"
"July 2017","29543"
"August 2017","33137"
"September 2017","30897"
"October 2017","33271"
"November 2017","35862"
"December 2017","42590"
"January 2018","32280"
"February 2018","30278"
"March 2018","34247"
"April 2018","31877"
"May 2018","34797"
"June 2018","33453"
"July 2018","32619"
"August 2018","35397"
"September 2018","32903"
"October 2018","36203"
"November 2018","37265"
"December 2018","44115"
"January 2019","35915"
"February 2019","32359"
"March 2019","35466"
"April 2019","34475"
"May 2019","36606"
"June 2019","34983"
"July 2019","36013"
"August 2019","37212"
"September 2019","33929"
"October 2019","39255"
"November 2019","37312"
"December 2019","46810"
"January 2020","37317"
"February 2020","34425"
"March 2020","37671"
"April 2020","39391"
"May 2020","41484"
"June 2020","42173"
"July 2020","43229"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
