Domestic Revenue Aircraft Miles Flown  (January 2000 - July 2020)
Unit: (000)

Period,Total
"January 2000","397948"
"February 2000","385927"
"March 2000","426453"
"April 2000","410095"
"May 2000","428298"
"June 2000","424786"
"July 2000","446090"
"August 2000","449191"
"September 2000","424416"
"October 2000","446896"
"November 2000","424708"
"December 2000","423985"
"January 2001","447220"
"February 2001","406519"
"March 2001","453199"
"April 2001","438261"
"May 2001","454404"
"June 2001","447352"
"July 2001","472168"
"August 2001","480581"
"September 2001","352205"
"October 2001","389944"
"November 2001","376271"
"December 2001","392172"
"January 2002","396790"
"February 2002","368587"
"March 2002","420885"
"April 2002","410814"
"May 2002","425311"
"June 2002","430024"
"July 2002","451188"
"August 2002","453551"
"September 2002","414160"
"October 2002","496986"
"November 2002","470712"
"December 2002","490102"
"January 2003","483973"
"February 2003","431474"
"March 2003","496347"
"April 2003","475317"
"May 2003","483200"
"June 2003","491568"
"July 2003","515161"
"August 2003","518066"
"September 2003","482994"
"October 2003","512870"
"November 2003","488276"
"December 2003","516612"
"January 2004","505857"
"February 2004","488558"
"March 2004","537390"
"April 2004","523870"
"May 2004","529463"
"June 2004","535157"
"July 2004","557343"
"August 2004","562156"
"September 2004","512622"
"October 2004","545441"
"November 2004","521763"
"December 2004","546241"
"January 2005","522499"
"February 2005","494163"
"March 2005","565782"
"April 2005","543303"
"May 2005","557867"
"June 2005","560555"
"July 2005","577113"
"August 2005","578307"
"September 2005","524938"
"October 2005","538954"
"November 2005","524105"
"December 2005","541431"
"January 2006","519684"
"February 2006","474310"
"March 2006","551423"
"April 2006","528767"
"May 2006","542161"
"June 2006","545486"
"July 2006","561945"
"August 2006","571087"
"September 2006","520260"
"October 2006","540739"
"November 2006","523190"
"December 2006","543639"
"January 2007","532266"
"February 2007","479855"
"March 2007","555574"
"April 2007","535794"
"May 2007","555146"
"June 2007","552517"
"July 2007","573260"
"August 2007","579022"
"September 2007","529706"
"October 2007","555044"
"November 2007","536598"
"December 2007","549034"
"January 2008","533515"
"February 2008","502952"
"March 2008","553320"
"April 2008","533575"
"May 2008","545233"
"June 2008","544768"
"July 2008","566383"
"August 2008","551309"
"September 2008","472886"
"October 2008","494736"
"November 2008","465129"
"December 2008","483339"
"January 2009","467483"
"February 2009","434159"
"March 2009","494573"
"April 2009","478717"
"May 2009","487796"
"June 2009","497623"
"July 2009","520824"
"August 2009","510828"
"September 2009","458000"
"October 2009","474858"
"November 2009","455605"
"December 2009","476510"
"January 2010","462417"
"February 2010","414903"
"March 2010","493396"
"April 2010","479360"
"May 2010","489906"
"June 2010","502370"
"July 2010","523994"
"August 2010","519478"
"September 2010","474215"
"October 2010","490422"
"November 2010","472037"
"December 2010","484687"
"January 2011","460743"
"February 2011","422606"
"March 2011","511707"
"April 2011","487845"
"May 2011","497632"
"June 2011","513500"
"July 2011","531682"
"August 2011","517006"
"September 2011","470973"
"October 2011","483029"
"November 2011","462962"
"December 2011","488887"
"January 2012","458813"
"February 2012","440189"
"March 2012","502066"
"April 2012","482043"
"May 2012","494832"
"June 2012","507619"
"July 2012","524211"
"August 2012","518084"
"September 2012","461862"
"October 2012","472104"
"November 2012","462879"
"December 2012","476955"
"January 2013","459032"
"February 2013","421805"
"March 2013","499267"
"April 2013","481095"
"May 2013","497354"
"June 2013","505109"
"July 2013","525365"
"August 2013","519514"
"September 2013","465625"
"October 2013","488276"
"November 2013","462916"
"December 2013","483808"
"January 2014","447452"
"February 2014","409906"
"March 2014","499322"
"April 2014","479982"
"May 2014","491547"
"June 2014","503781"
"July 2014","528038"
"August 2014","514378"
"September 2014","464729"
"October 2014","491312"
"November 2014","466244"
"December 2014","497316"
"January 2015","461337"
"February 2015","414475"
"March 2015","502512"
"April 2015","489824"
"May 2015","502669"
"June 2015","514921"
"July 2015","540336"
"August 2015","526416"
"September 2015","476037"
"October 2015","499447"
"November 2015","479535"
"December 2015","508516"
"January 2016","473164"
"February 2016","454310"
"March 2016","523317"
"April 2016","500570"
"May 2016","517878"
"June 2016","534900"
"July 2016","551191"
"August 2016","543514"
"September 2016","491907"
"October 2016","507689"
"November 2016","493180"
"December 2016","519184"
"January 2017","489779"
"February 2017","446856"
"March 2017","530868"
"April 2017","508846"
"May 2017","528732"
"June 2017","547692"
"July 2017","565453"
"August 2017","559431"
"September 2017","488963"
"October 2017","525539"
"November 2017","506430"
"December 2017","532700"
"January 2018","504809"
"February 2018","466093"
"March 2018","545912"
"April 2018","535487"
"May 2018","557158"
"June 2018","569392"
"July 2018","588975"
"August 2018","582197"
"September 2018","523751"
"October 2018","551800"
"November 2018","528989"
"December 2018","553312"
"January 2019","524142"
"February 2019","477824"
"March 2019","571281"
"April 2019","548450"
"May 2019","570546"
"June 2019","576496"
"July 2019","599591"
"August 2019","595444"
"September 2019","537258"
"October 2019","570892"
"November 2019","546124"
"December 2019","583495"
"January 2020","549403"
"February 2020","518067"
"March 2020","496328"
"April 2020","183305"
"May 2020","176948"
"June 2020","224585"
"July 2020","328642"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
