Domestic Departures Performed (Flights)  (January 2000 - July 2020)
Unit: (000)

Period,Total
"January 2000","624748"
"February 2000","606921"
"March 2000","668087"
"April 2000","636910"
"May 2000","673930"
"June 2000","662016"
"July 2000","687246"
"August 2000","694682"
"September 2000","660064"
"October 2000","694774"
"November 2000","659471"
"December 2000","648793"
"January 2001","688708"
"February 2001","624160"
"March 2001","695011"
"April 2001","663982"
"May 2001","686153"
"June 2001","667671"
"July 2001","705450"
"August 2001","720520"
"September 2001","536418"
"October 2001","599787"
"November 2001","574244"
"December 2001","592700"
"January 2002","629586"
"February 2002","588268"
"March 2002","659876"
"April 2002","644356"
"May 2002","661035"
"June 2002","666093"
"July 2002","701794"
"August 2002","710575"
"September 2002","652628"
"October 2002","878989"
"November 2002","824889"
"December 2002","842972"
"January 2003","841563"
"February 2003","743188"
"March 2003","854247"
"April 2003","824389"
"May 2003","848718"
"June 2003","860080"
"July 2003","898192"
"August 2003","900353"
"September 2003","843901"
"October 2003","883147"
"November 2003","820600"
"December 2003","858961"
"January 2004","841604"
"February 2004","813848"
"March 2004","892391"
"April 2004","875853"
"May 2004","890946"
"June 2004","899728"
"July 2004","936526"
"August 2004","950286"
"September 2004","881825"
"October 2004","921798"
"November 2004","874499"
"December 2004","897615"
"January 2005","864546"
"February 2005","817802"
"March 2005","933956"
"April 2005","901395"
"May 2005","934579"
"June 2005","932901"
"July 2005","955068"
"August 2005","962958"
"September 2005","881737"
"October 2005","894347"
"November 2005","860455"
"December 2005","867435"
"January 2006","841480"
"February 2006","770677"
"March 2006","888988"
"April 2006","852572"
"May 2006","885403"
"June 2006","885794"
"July 2006","913795"
"August 2006","937891"
"September 2006","863631"
"October 2006","889557"
"November 2006","852804"
"December 2006","869580"
"January 2007","860580"
"February 2007","780080"
"March 2007","894018"
"April 2007","866810"
"May 2007","907782"
"June 2007","898400"
"July 2007","927505"
"August 2007","943579"
"September 2007","866019"
"October 2007","903545"
"November 2007","862451"
"December 2007","862302"
"January 2008","848886"
"February 2008","801656"
"March 2008","873450"
"April 2008","856737"
"May 2008","878583"
"June 2008","874663"
"July 2008","907209"
"August 2008","885792"
"September 2008","784726"
"October 2008","816739"
"November 2008","756532"
"December 2008","773049"
"January 2009","757028"
"February 2009","704022"
"March 2009","794991"
"April 2009","777557"
"May 2009","797993"
"June 2009","812290"
"July 2009","849729"
"August 2009","836372"
"September 2009","763207"
"October 2009","779566"
"November 2009","740305"
"December 2009","757296"
"January 2010","738923"
"February 2010","666754"
"March 2010","789059"
"April 2010","771202"
"May 2010","792181"
"June 2010","805880"
"July 2010","839525"
"August 2010","838875"
"September 2010","772772"
"October 2010","789533"
"November 2010","752510"
"December 2010","758150"
"January 2011","726390"
"February 2011","670122"
"March 2011","808277"
"April 2011","768869"
"May 2011","794217"
"June 2011","814053"
"July 2011","840043"
"August 2011","828321"
"September 2011","762331"
"October 2011","774308"
"November 2011","731513"
"December 2011","754559"
"January 2012","721914"
"February 2012","693582"
"March 2012","780066"
"April 2012","753872"
"May 2012","779076"
"June 2012","789678"
"July 2012","810613"
"August 2012","813182"
"September 2012","728537"
"October 2012","747199"
"November 2012","718498"
"December 2012","719775"
"January 2013","708122"
"February 2013","651299"
"March 2013","756921"
"April 2013","739866"
"May 2013","772655"
"June 2013","771440"
"July 2013","805512"
"August 2013","805706"
"September 2013","732014"
"October 2013","760872"
"November 2013","701541"
"December 2013","712937"
"January 2014","671376"
"February 2014","621311"
"March 2014","743844"
"April 2014","725499"
"May 2014","746886"
"June 2014","756239"
"July 2014","794875"
"August 2014","783461"
"September 2014","717479"
"October 2014","748011"
"November 2014","696478"
"December 2014","723430"
"January 2015","681479"
"February 2015","615778"
"March 2015","732609"
"April 2015","720031"
"May 2015","741362"
"June 2015","751295"
"July 2015","790450"
"August 2015","780489"
"September 2015","713045"
"October 2015","740782"
"November 2015","696984"
"December 2015","718027"
"January 2016","684052"
"February 2016","659491"
"March 2016","750667"
"April 2016","725314"
"May 2016","753203"
"June 2016","768643"
"July 2016","785525"
"August 2016","790852"
"September 2016","728569"
"October 2016","741204"
"November 2016","711139"
"December 2016","722261"
"January 2017","693091"
"February 2017","639312"
"March 2017","752346"
"April 2017","724057"
"May 2017","761704"
"June 2017","776971"
"July 2017","794738"
"August 2017","797147"
"September 2017","709060"
"October 2017","748681"
"November 2017","713941"
"December 2017","729669"
"January 2018","706221"
"February 2018","649948"
"March 2018","755916"
"April 2018","747778"
"May 2018","784190"
"June 2018","793233"
"July 2018","820109"
"August 2018","822086"
"September 2018","743513"
"October 2018","781360"
"November 2018","737013"
"December 2018","752401"
"January 2019","723702"
"February 2019","658785"
"March 2019","786157"
"April 2019","764585"
"May 2019","800250"
"June 2019","800300"
"July 2019","831804"
"August 2019","834342"
"September 2019","761071"
"October 2019","802351"
"November 2019","751219"
"December 2019","786037"
"January 2020","757525"
"February 2020","713637"
"March 2020","669507"
"April 2020","268598"
"May 2020","268768"
"June 2020","330038"
"July 2020","469405"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
