Domestic Passenger - Revenue Aircraft Miles Flown  (January 2000 - July 2020)
Unit: (000)

Period,Total
"January 2000","397016"
"February 2000","385036"
"March 2000","425354"
"April 2000","408821"
"May 2000","427103"
"June 2000","423531"
"July 2000","444776"
"August 2000","447918"
"September 2000","423073"
"October 2000","445303"
"November 2000","423277"
"December 2000","422128"
"January 2001","438968"
"February 2001","398871"
"March 2001","443908"
"April 2001","429733"
"May 2001","445251"
"June 2001","438312"
"July 2001","463674"
"August 2001","470855"
"September 2001","345241"
"October 2001","380670"
"November 2001","366925"
"December 2001","381704"
"January 2002","388102"
"February 2002","360524"
"March 2002","411472"
"April 2002","401935"
"May 2002","415680"
"June 2002","420742"
"July 2002","441189"
"August 2002","442969"
"September 2002","405197"
"October 2002","462873"
"November 2002","439760"
"December 2002","455715"
"January 2003","454564"
"February 2003","404269"
"March 2003","467391"
"April 2003","445534"
"May 2003","453809"
"June 2003","463246"
"July 2003","484887"
"August 2003","487736"
"September 2003","454456"
"October 2003","480208"
"November 2003","459674"
"December 2003","482699"
"January 2004","476886"
"February 2004","460417"
"March 2004","506424"
"April 2004","493632"
"May 2004","500357"
"June 2004","505360"
"July 2004","526812"
"August 2004","531666"
"September 2004","481474"
"October 2004","513096"
"November 2004","491366"
"December 2004","509533"
"January 2005","490554"
"February 2005","462591"
"March 2005","528506"
"April 2005","509086"
"May 2005","525245"
"June 2005","524965"
"July 2005","543293"
"August 2005","542195"
"September 2005","490172"
"October 2005","504740"
"November 2005","489321"
"December 2005","501392"
"January 2006","487692"
"February 2006","443647"
"March 2006","514268"
"April 2006","495328"
"May 2006","508239"
"June 2006","509739"
"July 2006","529481"
"August 2006","533669"
"September 2006","486069"
"October 2006","505562"
"November 2006","487103"
"December 2006","502122"
"January 2007","498743"
"February 2007","448085"
"March 2007","518679"
"April 2007","502977"
"May 2007","519439"
"June 2007","517921"
"July 2007","540870"
"August 2007","542884"
"September 2007","497848"
"October 2007","519919"
"November 2007","503045"
"December 2007","512991"
"January 2008","501286"
"February 2008","471699"
"March 2008","521119"
"April 2008","500398"
"May 2008","512632"
"June 2008","514720"
"July 2008","534899"
"August 2008","520674"
"September 2008","444056"
"October 2008","462428"
"November 2008","437206"
"December 2008","450633"
"January 2009","441492"
"February 2009","410385"
"March 2009","469524"
"April 2009","453336"
"May 2009","463481"
"June 2009","473311"
"July 2009","495344"
"August 2009","486799"
"September 2009","433493"
"October 2009","448318"
"November 2009","431692"
"December 2009","445675"
"January 2010","439187"
"February 2010","392081"
"March 2010","467982"
"April 2010","453834"
"May 2010","464997"
"June 2010","476563"
"July 2010","498199"
"August 2010","493958"
"September 2010","448927"
"October 2010","464243"
"November 2010","446766"
"December 2010","451980"
"January 2011","436709"
"February 2011","399235"
"March 2011","484240"
"April 2011","462691"
"May 2011","473435"
"June 2011","487593"
"July 2011","507206"
"August 2011","491167"
"September 2011","446375"
"October 2011","458672"
"November 2011","437691"
"December 2011","457287"
"January 2012","435706"
"February 2012","416328"
"March 2012","475930"
"April 2012","458387"
"May 2012","469124"
"June 2012","482725"
"July 2012","500628"
"August 2012","492103"
"September 2012","438541"
"October 2012","446448"
"November 2012","437069"
"December 2012","447277"
"January 2013","434375"
"February 2013","399079"
"March 2013","474491"
"April 2013","457103"
"May 2013","472187"
"June 2013","481279"
"July 2013","501478"
"August 2013","494208"
"September 2013","443347"
"October 2013","461985"
"November 2013","439093"
"December 2013","453091"
"January 2014","422711"
"February 2014","387247"
"March 2014","474982"
"April 2014","454954"
"May 2014","466329"
"June 2014","479881"
"July 2014","502061"
"August 2014","488977"
"September 2014","441249"
"October 2014","464171"
"November 2014","441139"
"December 2014","462308"
"January 2015","436193"
"February 2015","390379"
"March 2015","476526"
"April 2015","463557"
"May 2015","476847"
"June 2015","488888"
"July 2015","513050"
"August 2015","500562"
"September 2015","449237"
"October 2015","470687"
"November 2015","453299"
"December 2015","469883"
"January 2016","446214"
"February 2016","428676"
"March 2016","493812"
"April 2016","472838"
"May 2016","490972"
"June 2016","506087"
"July 2016","523521"
"August 2016","514156"
"September 2016","462898"
"October 2016","478240"
"November 2016","462106"
"December 2016","478950"
"January 2017","461420"
"February 2017","419997"
"March 2017","499316"
"April 2017","479849"
"May 2017","498310"
"June 2017","516349"
"July 2017","535910"
"August 2017","526294"
"September 2017","458066"
"October 2017","492268"
"November 2017","470568"
"December 2017","490110"
"January 2018","472529"
"February 2018","435815"
"March 2018","511665"
"April 2018","503610"
"May 2018","522361"
"June 2018","535939"
"July 2018","556356"
"August 2018","546800"
"September 2018","490848"
"October 2018","515597"
"November 2018","491724"
"December 2018","509197"
"January 2019","488227"
"February 2019","445465"
"March 2019","535815"
"April 2019","513975"
"May 2019","533940"
"June 2019","541513"
"July 2019","563578"
"August 2019","558232"
"September 2019","503329"
"October 2019","531637"
"November 2019","508812"
"December 2019","536685"
"January 2020","512086"
"February 2020","483642"
"March 2020","458657"
"April 2020","143914"
"May 2020","135464"
"June 2020","182412"
"July 2020","285413"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
